Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
NRSA02-PTR-020,PTR,NRSA02-PTR-020L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,UR,NRSA01-UR-001L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,UR,NRSA01-UR-002L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sakura Haruno,UR,NRSA01-UR-003L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,UR,NRSA01-UR-004L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,UR,NRSA01-UR-005L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,UR,NRSA01-UR-006L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Iruka Umino,UR,NRSA01-UR-007L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Shikamaru Nara,UR,NRSA01-UR-008L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Choji Akimichi,UR,NRSA01-UR-009L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Ino Yamanaka,UR,NRSA01-UR-010L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Neji Hyuga,UR,NRSA01-UR-011L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Rock Lee,UR,NRSA01-UR-012L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Tenten,UR,NRSA01-UR-013L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Hinata Hygua,UR,NRSA01-UR-014L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kiba Inuzuka,UR,NRSA01-UR-015L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Orochimaru,UR,NRSA02-UR-001L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Shikamaru Nara,UR,NRSA02-UR-002L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kabuto Yakushi,UR,NRSA02-UR-003L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Anko Mitarashi,UR,NRSA02-UR-004L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Might Guy,UR,NRSA02-UR-005L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,UR,NRSA02-UR-006L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,UR,NRSA02-UR-007L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kiba Inuzuka,UR,NRSA02-UR-008L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Hiruzen Sarutobi,UR,NRSA02-UR-009L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Ibiki Morino,UR,NRSA02-UR-010L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Temari,UR,NRSA02-UR-011L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,UR,NRSA02-UR-012L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,UR,NRSA02-UR-013L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Jiraiya,UR,NRSA02-UR-014L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,UR,NRSA02-UR-015L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Haku,SSR,NRSA01-SSR-001L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SSR,NRSA01-SSR-002L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,SSR,NRSA01-SSR-003L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,SSR,NRSA01-SSR-004L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,SSR,NRSA01-SSR-005L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SSR,NRSA01-SSR-006L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,SSR,NRSA01-SSR-007L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SSR,NRSA01-SSR-008L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SSR,NRSA01-SSR-009L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,SSR,NRSA01-SSR-010L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SSR,NRSA01-SSR-011L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,SSR,NRSA01-SSR-012L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,SSR,NRSA01-SSR-013L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,SSR,NRSA01-SSR-014L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,SSR,NRSA01-SSR-015L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SSR,NRSA01-SSR-016L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SSR,NRSA01-SSR-017L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SSR,NRSA01-SSR-018L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SSR,NRSA01-SSR-019L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SSR,NRSA01-SSR-020L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SSR,NRSA01-SSR-021L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,SSR,NRSA01-SSR-022L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
