Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
Battle on the Bridge! Zabuza Returns! 1,R,NRSA-R-031L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Battle on the Bridge! Zabuza Returns! 2,R,NRSA-R-032L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Battle on the Bridge! Zabuza Returns! 3,R,NRSA-R-033L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Battle on the Bridge! Zabuza Returns! 4,R,NRSA-R-034L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Battle on the Bridge! Zabuza Returns! 5,R,NRSA-R-035L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku's Secret Jutsu: Crystal Ice Mirrors 1,R,NRSA-R-036L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku's Secret Jutsu: Crystal Ice Mirrors 2,R,NRSA-R-037L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku's Secret Jutsu: Crystal Ice Mirrors 3,R,NRSA-R-038L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku's Secret Jutsu: Crystal Ice Mirrors 4,R,NRSA-R-039L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku's Secret Jutsu: Crystal Ice Mirrors 5,R,NRSA-R-040L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Broken Seal 1,R,NRSA-R-041L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Broken Seal 2,R,NRSA-R-042L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Broken Seal 3,R,NRSA-R-043L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Broken Seal 4,R,NRSA-R-044L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Broken Seal 5,R,NRSA-R-045L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Demon in the Snow 1,R,NRSA-R-046L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Demon in the Snow 2,R,NRSA-R-047L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Demon in the Snow 3,R,NRSA-R-048L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Demon in the Snow 4,R,NRSA-R-049L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Demon in the Snow 5,R,NRSA-R-050L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Chunin Challenge: Rock Lee vs. Sasuke! 1,R,NRSA-R-001L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Chunin Challenge: Rock Lee vs. Sasuke! 2,R,NRSA-R-002L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Chunin Challenge: Rock Lee vs. Sasuke! 3,R,NRSA-R-003L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Chunin Challenge: Rock Lee vs. Sasuke! 4,R,NRSA-R-004L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Chunin Challenge: Rock Lee vs. Sasuke! 5,R,NRSA-R-005L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Start Your Engines: The Chunin Exam Begins! 1,R,NRSA-R-006L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Start Your Engines: The Chunin Exam Begins! 2,R,NRSA-R-007L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Start Your Engines: The Chunin Exam Begins! 3,R,NRSA-R-008L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Start Your Engines: The Chunin Exam Begins! 4,R,NRSA-R-009L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Tenth Question: All or Nothing! 1,R,NRSA-R-010L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Tenth Question: All or Nothing! 2,R,NRSA-R-011L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Tenth Question: All or Nothing! 3,R,NRSA-R-012L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Tenth Question: All or Nothing! 4,R,NRSA-R-013L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Chunin Exam Stage 2: The Forest of Death 1,R,NRSA-R-014L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Chunin Exam Stage 2: The Forest of Death 2,R,NRSA-R-015L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Chunin Exam Stage 2: The Forest of Death 3,R,NRSA-R-016L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
The Chunin Exam Stage 2: The Forest of Death 4,R,NRSA-R-017L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto's Counterattack: Never Give In! 1,R,NRSA-R-018L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto's Counterattack: Never Give In! 2,R,NRSA-R-019L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Pledge: Undying Love and Protection! 1,R,NRSA-R-020L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Pledge: Undying Love and Protection! 2,R,NRSA-R-021L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Pledge: Undying Love and Protection! 3,R,NRSA-R-022L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Pledge: Undying Love and Protection! 4,R,NRSA-R-023L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sakura Blossoms! 1,R,NRSA-R-024L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sakura Blossoms! 2,R,NRSA-R-025L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sakura Blossoms! 3,R,NRSA-R-026L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 1,R,NRSA-R-027L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 2,R,NRSA-R-028L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 3,R,NRSA-R-029L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 4,R,NRSA-R-030L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 5,R,NRSA-R-031L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 6,R,NRSA-R-032L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 7,R,NRSA-R-033L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 8,R,NRSA-R-034L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Battle Formation: Ino-Shika-Cho!! 9,R,NRSA-R-035L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Clone vs. Clone: Mine are Better Than Yours! 1,R,NRSA-R-036L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Clone vs. Clone: Mine are Better Than Yours! 2,R,NRSA-R-037L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Clone vs. Clone: Mine are Better Than Yours! 3,R,NRSA-R-038L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Clone vs. Clone: Mine are Better Than Yours! 4,R,NRSA-R-039L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Jealousy: Lions Barrage Unleashed! 1,R,NRSA-R-040L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Jealousy: Lions Barrage Unleashed! 2,R,NRSA-R-041L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Jealousy: Lions Barrage Unleashed! 3,R,NRSA-R-042L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Bushy Brow's Jealousy: Lions Barrage Unleashed! 4,R,NRSA-R-043L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kunoichi Rumble: The Rivals Get Serious! 1,R,NRSA-R-044L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kunoichi Rumble: The Rivals Get Serious! 2,R,NRSA-R-045L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Akamaru Unleashed! Who's Top Dog Now? 1,R,NRSA-R-046L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Akamaru Unleashed! Who's Top Dog Now? 2,R,NRSA-R-047L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Akamaru Unleashed! Who's Top Dog Now? 3,R,NRSA-R-048L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Akamaru Unleashed! Who's Top Dog Now? 4,R,NRSA-R-049L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Akamaru Unleashed! Who's Top Dog Now? 5,R,NRSA-R-050L1,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Konan,PR,NRSA-PR-001,Promo,Promo Card,,,KAYOU,
Naruto Uzumaki,PR,NRSA-PR-002,Promo,Promo Card,,,KAYOU,
Naruto Uzumaki,PR,NRSA-PR-003,Promo,Promo Card,,,KAYOU,
Naruto Uzumaki,PR,NRSA-PR-004,Promo,Promo Card,,,KAYOU,
Naruto Uzumaki,PR,NRSA-PR-005,Promo,Promo Card,,,KAYOU,
Kakashi Hatake,PR,NRSA-PR-006,Promo,Promo Card,,,KAYOU,
