Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
PTR-006,PTR,NRSA01-PTR-006L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-007,PTR,NRSA01-PTR-007L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-008,PTR,NRSA01-PTR-008L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-009,PTR,NRSA01-PTR-009L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-010,PTR,NRSA01-PTR-010L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-011,PTR,NRSA01-PTR-011L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-012,PTR,NRSA01-PTR-012L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-013,PTR,NRSA01-PTR-013L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-014,PTR,NRSA01-PTR-014L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-015,PTR,NRSA01-PTR-015L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-016,PTR,NRSA01-PTR-016L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-017,PTR,NRSA01-PTR-017L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-018,PTR,NRSA01-PTR-018L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-019,PTR,NRSA01-PTR-019L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-020,PTR,NRSA01-PTR-020L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
NRSA02-PTR-001,PTR,NRSA02-PTR-001L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-002,PTR,NRSA02-PTR-002L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-003,PTR,NRSA02-PTR-003L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-004,PTR,NRSA02-PTR-004L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-005,PTR,NRSA02-PTR-005L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-006,PTR,NRSA02-PTR-006L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-007,PTR,NRSA02-PTR-007L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-008,PTR,NRSA02-PTR-008L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-009,PTR,NRSA02-PTR-009L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-010,PTR,NRSA02-PTR-010L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-011,PTR,NRSA02-PTR-011L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-012,PTR,NRSA02-PTR-012L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-013,PTR,NRSA02-PTR-013L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-014,PTR,NRSA02-PTR-014L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-015,PTR,NRSA02-PTR-015L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-016,PTR,NRSA02-PTR-016L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-017,PTR,NRSA02-PTR-017L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-018,PTR,NRSA02-PTR-018L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-019,PTR,NRSA02-PTR-019L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
NRSA02-PTR-020,PTR,NRSA02-PTR-020L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
