Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Naruto Uzumaki,SR,NRV01-SR-008L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-009L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-010L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Mizuki,SR,NRV01-SR-011L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sakura Haruno,SR,NRV01-SR-012L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sakura Haruno,SR,NRV01-SR-013L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Iruka Umino,SR,NRV01-SR-014L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Hiruzen Sarutobi,SR,NRV01-SR-015L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Zabuza Momochi,SR,NRV01-SR-016L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Zabuza Momochi,SR,NRV01-SR-017L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Zabuza Momochi,SR,NRV01-SR-018L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sasuke Uchiha,SR,NRV01-SR-019L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sasuke Uchiha,SR,NRV01-SR-020L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Enter: Naruto Uzumaki! 1,R,NRV01-R-001L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Enter: Naruto Uzumaki! 2,R,NRV01-R-002L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Enter: Naruto Uzumaki! 3,R,NRV01-R-003L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Enter: Naruto Uzumaki! 4,R,NRV01-R-004L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Enter: Naruto Uzumaki! 5,R,NRV01-R-005L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
You Failed! Kakashi's Final Decision 1,R,NRV01-R-006L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
You Failed! Kakashi's Final Decision 2,R,NRV01-R-007L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
You Failed! Kakashi's Final Decision 3,R,NRV01-R-008L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
You Failed! Kakashi's Final Decision 4,R,NRV01-R-009L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
You Failed! Kakashi's Final Decision 5,R,NRV01-R-010L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 1,R,NRV01-R-011L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 2,R,NRV01-R-012L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 3,R,NRV01-R-013L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 4,R,NRV01-R-014L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 5,R,NRV01-R-015L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Assassin of the Mist! 1,R,NRV01-R-016L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Assassin of the Mist! 2,R,NRV01-R-017L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Assassin of the Mist! 3,R,NRV01-R-018L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Assassin of the Mist! 4,R,NRV01-R-019L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Assassin of the Mist! 5,R,NRV01-R-020L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Oath of Pain 1,R,NRV01-R-021L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Oath of Pain 2,R,NRV01-R-022L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Oath of Pain 3,R,NRV01-R-023L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Oath of Pain 4,R,NRV01-R-024L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Oath of Pain 5,R,NRV01-R-025L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi: Sharingan Warrior 1,R,NRV01-R-026L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi: Sharingan Warrior 2,R,NRV01-R-027L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi: Sharingan Warrior 3,R,NRV01-R-028L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi: Sharingan Warrior 4,R,NRV01-R-029L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi: Sharingan Warrior 5,R,NRV01-R-030L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 1,R,NRV01-R-031L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 2,R,NRV01-R-032L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 3,R,NRV01-R-033L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 4,R,NRV01-R-034L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 5,R,NRV01-R-035L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 1,R,NRV01-R-036L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 2,R,NRV01-R-037L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 3,R,NRV01-R-038L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 4,R,NRV01-R-039L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 5,R,NRV01-R-040L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Broken Seal 1,R,NRV01-R-041L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Broken Seal 2,R,NRV01-R-042L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Broken Seal 3,R,NRV01-R-043L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Broken Seal 4,R,NRV01-R-044L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Broken Seal 5,R,NRV01-R-045L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Demon in the Snow 1,R,NRV01-R-046L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Demon in the Snow 2,R,NRV01-R-047L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Demon in the Snow 3,R,NRV01-R-048L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Demon in the Snow 4,R,NRV01-R-049L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
The Demon in the Snow 5,R,NRV01-R-050L1,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
